,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
15,16,0.105584,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26103; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6103.0,Read,Input,Registers,0.0003599999999999992,
16,17,0.106219,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26104; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6104.0,Read,Holding,Registers,0.0006349999999999967,0.0009750000000000036
17,18,0.106559,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26104; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6104.0,Read,Holding,Registers,0.00034000000000000696,
18,19,0.107055,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26105; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6105.0,Write,Multiple,Registers,0.0004959999999999964,0.0008179999999999993
19,20,0.107377,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26105; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6105.0,Write,Multiple,Registers,0.00032200000000000284,
21,22,0.206957,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26106; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6106.0,Read,Discrete,Inputs,0.09958,0.10016
22,23,0.207537,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26106; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6106.0,Read,Discrete,Inputs,0.0005799999999999972,
23,24,0.20765,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26107; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6107.0,Write,Multiple,Coils,0.00011300000000000199,0.0004250000000000087
24,25,0.207962,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26107; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6107.0,Write,Multiple,Coils,0.0003120000000000067,
25,26,0.208048,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26108; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6108.0,Read,Input,Registers,8.600000000000274e-05,0.0003979999999999817
26,27,0.20836,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26108; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6108.0,Read,Input,Registers,0.00031199999999997896,
27,28,0.208461,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26109; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6109.0,Read,Holding,Registers,0.00010100000000001774,0.00040200000000001346
28,29,0.208762,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26109; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6109.0,Read,Holding,Registers,0.0003009999999999957,
29,30,0.208859,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26110; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6110.0,Write,Multiple,Registers,9.699999999998599e-05,0.00039000000000000146
30,31,0.209152,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26110; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6110.0,Write,Multiple,Registers,0.00029300000000001547,
32,33,0.309074,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26111; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6111.0,Read,Discrete,Inputs,0.09992200000000001,0.10053899999999999
33,34,0.309691,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26111; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6111.0,Read,Discrete,Inputs,0.0006169999999999787,
34,35,0.309907,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26112; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6112.0,Write,Multiple,Coils,0.00021599999999999397,0.0009009999999999851
35,36,0.310592,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26112; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6112.0,Write,Multiple,Coils,0.0006849999999999912,
36,37,0.310771,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26113; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6113.0,Read,Input,Registers,0.00017900000000004024,0.0007530000000000037
37,38,0.311345,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26113; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6113.0,Read,Input,Registers,0.0005739999999999634,
38,39,0.311549,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26114; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6114.0,Read,Holding,Registers,0.00020400000000003748,0.001603000000000021
39,40,0.312948,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26114; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6114.0,Read,Holding,Registers,0.0013989999999999836,
40,41,0.313188,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26115; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6115.0,Write,Multiple,Registers,0.00024000000000001798,0.0008409999999999807
41,42,0.313789,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26115; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6115.0,Write,Multiple,Registers,0.0006009999999999627,
42,43,0.414032,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26116; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6116.0,Read,Discrete,Inputs,0.10024300000000003,0.10090700000000002
43,44,0.414696,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26116; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6116.0,Read,Discrete,Inputs,0.0006639999999999979,
44,45,0.415374,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26117; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6117.0,Write,Multiple,Coils,0.0006780000000000119,0.0012369999999999881
45,46,0.415933,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26117; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6117.0,Write,Multiple,Coils,0.0005589999999999762,
46,47,0.416424,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26118; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6118.0,Read,Input,Registers,0.0004910000000000192,0.0010299999999999754
47,48,0.416963,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26118; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6118.0,Read,Input,Registers,0.0005389999999999562,
48,49,0.417505,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26119; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6119.0,Read,Holding,Registers,0.0005420000000000424,0.0013420000000000099
49,50,0.418305,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26119; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6119.0,Read,Holding,Registers,0.0007999999999999674,
50,51,0.418788,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26120; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6120.0,Write,Multiple,Registers,0.0004830000000000112,0.0010580000000000034
51,52,0.419363,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26120; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6120.0,Write,Multiple,Registers,0.0005749999999999922,
52,53,0.519013,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26121; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6121.0,Read,Discrete,Inputs,0.09964999999999996,0.10014799999999996
53,54,0.519511,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26121; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6121.0,Read,Discrete,Inputs,0.0004979999999999984,
54,55,0.519794,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26122; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6122.0,Write,Multiple,Coils,0.0002830000000000332,0.0005930000000000657
55,56,0.520104,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26122; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6122.0,Write,Multiple,Coils,0.00031000000000003247,
56,57,0.520294,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26123; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6123.0,Read,Input,Registers,0.00019000000000002348,0.0005110000000000392
57,58,0.520615,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26123; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6123.0,Read,Input,Registers,0.0003210000000000157,
58,59,0.520856,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26124; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6124.0,Read,Holding,Registers,0.0002409999999999357,0.0005309999999999482
59,60,0.521146,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26124; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6124.0,Read,Holding,Registers,0.00029000000000001247,
60,61,0.521385,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26125; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6125.0,Write,Multiple,Registers,0.00023899999999998922,0.0005399999999999849
61,62,0.521686,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26125; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6125.0,Write,Multiple,Registers,0.0003009999999999957,
62,63,0.621079,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26126; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6126.0,Read,Discrete,Inputs,0.09939300000000006,0.10081300000000004
63,64,0.622499,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26126; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6126.0,Read,Discrete,Inputs,0.0014199999999999768,
64,65,0.623102,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26127; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6127.0,Write,Multiple,Coils,0.0006030000000000202,0.0013119999999999798
65,66,0.623811,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26127; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6127.0,Write,Multiple,Coils,0.0007089999999999597,
66,67,0.624304,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26128; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6128.0,Read,Input,Registers,0.0004929999999999657,0.0009879999999999889
67,68,0.624799,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26128; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6128.0,Read,Input,Registers,0.0004950000000000232,
68,69,0.625469,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26129; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6129.0,Read,Holding,Registers,0.0006700000000000594,0.0010350000000000081
69,70,0.625834,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26129; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6129.0,Read,Holding,Registers,0.0003649999999999487,
70,71,0.62636,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26130; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6130.0,Write,Multiple,Registers,0.0005260000000000264,0.0009609999999999896
71,72,0.626795,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26130; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6130.0,Write,Multiple,Registers,0.0004349999999999632,
72,73,0.727023,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26131; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6131.0,Read,Discrete,Inputs,0.10022799999999998,0.10079899999999997
73,74,0.727594,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26131; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6131.0,Read,Discrete,Inputs,0.0005709999999999882,
74,75,0.728086,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26132; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6132.0,Write,Multiple,Coils,0.000492000000000048,0.016121000000000052
75,76,0.743715,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26132; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6132.0,Write,Multiple,Coils,0.015629000000000004,
76,77,0.744106,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26133; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6133.0,Read,Input,Registers,0.0003910000000000302,0.001302999999999943
77,78,0.745018,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26133; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6133.0,Read,Input,Registers,0.0009119999999999129,
78,79,0.745358,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26134; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6134.0,Read,Holding,Registers,0.00034000000000000696,0.0008310000000000262
79,80,0.745849,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26134; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6134.0,Read,Holding,Registers,0.0004910000000000192,
80,81,0.746188,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26135; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6135.0,Write,Multiple,Registers,0.0003389999999999782,0.0009590000000000432
81,82,0.746808,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26135; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6135.0,Write,Multiple,Registers,0.0006200000000000649,
82,83,0.847087,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26136; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6136.0,Read,Discrete,Inputs,0.10027900000000001,0.10113399999999995
83,84,0.847942,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26136; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6136.0,Read,Discrete,Inputs,0.0008549999999999391,
84,85,0.848215,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26137; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6137.0,Write,Multiple,Coils,0.00027300000000007874,0.0006820000000000714
85,86,0.848624,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26137; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6137.0,Write,Multiple,Coils,0.0004089999999999927,
86,87,0.848888,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26138; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6138.0,Read,Input,Registers,0.00026399999999993096,0.0005589999999999762
87,88,0.849183,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26138; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6138.0,Read,Input,Registers,0.0002950000000000452,
88,89,0.849439,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26139; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6139.0,Read,Holding,Registers,0.000256000000000034,0.0005410000000000137
89,90,0.849724,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26139; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6139.0,Read,Holding,Registers,0.0002849999999999797,
90,91,0.849976,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26140; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6140.0,Write,Multiple,Registers,0.00025199999999991896,0.0005359999999999809
91,92,0.85026,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26140; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6140.0,Write,Multiple,Registers,0.000284000000000062,
92,93,0.950106,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26141; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6141.0,Read,Discrete,Inputs,0.09984599999999999,0.10056199999999993
93,94,0.950822,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26141; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6141.0,Read,Discrete,Inputs,0.0007159999999999389,
94,95,0.951202,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26142; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6142.0,Write,Multiple,Coils,0.00038000000000004697,0.0008620000000000294
95,96,0.951684,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26142; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6142.0,Write,Multiple,Coils,0.00048199999999998244,
96,97,0.952105,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26143; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6143.0,Read,Input,Registers,0.0004210000000000047,0.0009100000000000774
97,98,0.952594,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26143; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6143.0,Read,Input,Registers,0.0004890000000000727,
98,99,0.953264,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26144; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6144.0,Read,Holding,Registers,0.0006699999999999484,0.0012129999999999086
99,100,0.953807,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26144; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6144.0,Read,Holding,Registers,0.0005429999999999602,
100,101,0.954476,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26145; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6145.0,Write,Multiple,Registers,0.0006690000000000307,0.0011450000000000626
101,102,0.954952,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26145; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6145.0,Write,Multiple,Registers,0.00047600000000003195,
102,103,1.055121,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26146; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6146.0,Read,Discrete,Inputs,0.10016899999999995,0.10079700000000003
103,104,1.055749,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26146; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6146.0,Read,Discrete,Inputs,0.0006280000000000729,
104,105,1.056437,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26147; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6147.0,Write,Multiple,Coils,0.0006880000000000219,0.0011959999999999749
105,106,1.056945,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26147; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6147.0,Write,Multiple,Coils,0.0005079999999999529,
106,107,1.057318,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26148; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6148.0,Read,Input,Registers,0.0003729999999999567,0.0008060000000000844
107,108,1.057751,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26148; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6148.0,Read,Input,Registers,0.00043300000000012773,
108,109,1.058111,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26149; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6149.0,Read,Holding,Registers,0.00035999999999991594,0.0007919999999999039
109,110,1.058543,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26149; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6149.0,Read,Holding,Registers,0.00043199999999998795,
110,111,1.058896,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26150; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6150.0,Write,Multiple,Registers,0.0003530000000000477,0.0007850000000000357
111,112,1.059328,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26150; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6150.0,Write,Multiple,Registers,0.00043199999999998795,
112,113,1.159167,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26151; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,6151.0,Read,Discrete,Inputs,0.09983900000000001,0.10048100000000004
113,114,1.159809,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 26151; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,6151.0,Read,Discrete,Inputs,0.0006420000000000314,
114,115,1.1605,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 26152; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,6152.0,Write,Multiple,Coils,0.0006909999999999972,0.0011179999999999524
115,116,1.160927,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26152; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,6152.0,Write,Multiple,Coils,0.0004269999999999552,
116,117,1.161415,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26153; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,6153.0,Read,Input,Registers,0.00048800000000004395,0.0008489999999998776
117,118,1.161776,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26153; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,6153.0,Read,Input,Registers,0.0003609999999998337,
118,119,1.162398,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 26154; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,6154.0,Read,Holding,Registers,0.0006220000000001225,0.0009680000000000799
119,120,1.162744,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 26154; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,6154.0,Read,Holding,Registers,0.00034599999999995745,
120,121,1.16315,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 26155; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,6155.0,Write,Multiple,Registers,0.00040599999999990644,0.0007369999999999877
121,122,1.163481,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 26155; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,6155.0,Write,Multiple,Registers,0.00033100000000008123,
